NAME,GEOID,time,lrt_treat,pct_wht,pct_blk,pct_a,pct_hsp,pct_wht80,pct_blk80,pct_as_pi80,pct_hsp80,vacant_hu80,Q1pct,Q2pct,Q3pct,Q4pct,Q5pct,Q1wpct,Q2wpct,Q3wpct,Q4wpct,Q5wpct,Q1bpct,Q2bpct,Q3bpct,Q4bpct,Q5bpct,Q1apct,Q2apct,Q3apct,Q4apct,Q5apct,Q1hsppct,Q2hsppct,Q3hsppct,Q4hsppct,Q5hsppct,above_med_pct,below_med_pct,med_gross_rent80,pop_dens,pct_owner,total_pop,total_nhwht,total_blk,total_as,total_hsp,maj_owner
"Census Tract 1, King County, Washington",53033000100,1990,0,72.56184829278266,6.890206501737886,15.784093232467796,3.659783275403803,0.8659367396593664,0.030900243309002536,0.06155717761557176,0.030900243309002536,137.000000696518,24.05010438413361,24.05010438413361,19.624217118997915,14.44676409185804,17.828810020876826,17.888262429523323,31.624807790876474,15.581752947206562,12.813941568426449,22.091235263967196,38.4,46.400000000000006,0,0,15.2,26.37795275590551,22.04724409448819,26.77165354330709,11.811023622047244,12.992125984251967,44.680851063829785,48.93617021276596,0,0,6.382978723404255,0.35323590814196243,0.6467640918580376,271,6630.23700720103,0.3327974276527331,4891,3549,337,772,179,0
"Census Tract 2, King County, Washington",53033000200,1990,0,79.24475130336762,3.0435395237424263,13.146399887276313,3.07172044525856,0.9008239243210249,0.013274336283185835,0.06026853829722295,0.010222764723832762,72.999999790729,10.761390887290167,20.293764988009592,23.980815347721823,27.098321342925658,17.86570743405276,8.01270737733851,29.50935404165196,20.33180374161666,20.790681256618427,21.355453582774444,0,81.48148148148148,18.51851851851852,0,0,2.6022304832713754,8.921933085501859,4.4609665427509295,40.14869888475837,43.866171003717476,17.355371900826448,39.66942148760331,5.785123966942149,23.96694214876033,13.223140495867769,0.48501199040767384,0.5149880095923262,328,5593.23205790621,0.5430187555820185,7097,5624,216,933,218,1
"Census Tract 3, King County, Washington",53033000300,1990,0,79.76480129764802,4.866180048661801,10.62449310624493,3.1224655312246554,0.9092503288031577,0.01578255151249449,0.040333187198597076,0.020604997807978948,44.0000002311026,12.968036529680365,17.35159817351598,23.835616438356162,24.65753424657534,21.187214611872147,8.690869086908691,29.15291529152915,17.71177117711771,22.662266226622663,21.782178217821784,20,25.454545454545453,16.363636363636363,10.909090909090908,27.27272727272727,15.277777777777779,23.61111111111111,15.277777777777779,16.666666666666664,29.166666666666668,23.809523809523807,0,42.857142857142854,33.33333333333333,0,0.4968036529680365,0.5031963470319635,353,5276.18837053469,0.6166982922201139,2466,1967,120,262,77,1
"Census Tract 4.01, King County, Washington",53033000401,1990,0,84.38937148696985,3.0148185998978025,7.766990291262135,3.4491568727644353,0.9429700734048584,0.006493506493506506,0.028656126482213468,0.015951439864483337,43.8278531055166,29.214929214929214,21.92192192192192,18.575718575718575,18.146718146718147,12.140712140712141,22.295390404515523,31.373471307619944,16.933207902163687,15.898400752587019,13.49952963311383,100,0,0,0,0,39.25233644859813,14.953271028037381,23.364485981308412,13.084112149532709,9.345794392523365,0,20.689655172413794,24.137931034482758,31.03448275862069,24.137931034482758,0.3281853281853282,0.6718146718146718,278,7042.47190326837,0.30851501439736734,3914,3303,118,304,135,0
"Census Tract 4.02, King County, Washington",53033000402,1990,0,86.8531814805645,1.8321366674919535,6.808615994057936,3.1938598663035402,0.9429700734048571,0.006493506493506498,0.028656126482213495,0.01595143986448334,56.1721442010802,14.19624217118998,18.423799582463467,22.964509394572026,23.121085594989562,21.29436325678497,10.144927536231885,26.932367149758452,20.169082125603865,20.108695652173914,22.644927536231883,0,28.78787878787879,0,0,71.21212121212122,18.69158878504673,14.018691588785046,21.49532710280374,17.75700934579439,28.037383177570092,0,0,18.421052631578945,47.368421052631575,34.21052631578947,0.47755741127348644,0.5224425887265136,278,6431.82209866294,0.5581637976004173,4039,3508,74,275,129,1
"Census Tract 5, King County, Washington",53033000500,1990,0,93.69196285622799,0.7044508485430675,3.13800832532821,2.0172910662824206,0.9780893952673096,0.004966403739409859,0.01256208004674259,0.00788781770376864,21.0000000355631,5.007704160246533,6.163328197226503,16.94915254237288,25.26964560862866,46.61016949152542,4.277643260694108,9.76594027441485,14.447134786117838,17.756255044390638,53.753026634382564,0,0,0,0,100,21.875,0,15.625,62.5,0,0,0,31.57894736842105,36.84210526315789,31.57894736842105,0.7334360554699538,0.2665639445300462,364,2805.68333305506,0.9106187929717342,3123,2926,22,98,63,1
"Census Tract 6, King County, Washington",53033000600,1990,0,79.28625664388763,2.277904328018223,14.578587699316628,3.2953682611996964,0.91158315177923,0.008533042846768337,0.05791575889615112,0.01633986928104575,50.8053894269277,13.676075268817204,21.706989247311828,21.102150537634408,20.530913978494624,22.983870967741936,11.688819390148554,28.029710711493355,19.155590304925724,17.12275215011728,24.00312744331509,0,55.26315789473685,23.684210526315788,0,21.052631578947366,4.868913857677903,19.850187265917604,18.352059925093634,11.985018726591761,44.9438202247191,0,24.137931034482758,22.413793103448278,17.24137931034483,36.206896551724135,0.4603494623655914,0.5396505376344086,323,4490.26377181739,0.5758767617174697,6585,5221,150,960,217,1
"Census Tract 7, King County, Washington",53033000700,1990,0,82.04747774480711,3.4124629080118694,10.682492581602373,3.0267062314540056,0.8998103666245241,0.014854614412136516,0.06099873577749681,0.024020227560050542,37.9999994901591,17.589388696655135,18.97347174163783,24.509803921568626,21.337946943483278,17.589388696655135,11.027397260273974,32.19178082191781,18.835616438356166,18.15068493150685,19.794520547945204,33.84615384615385,16.923076923076923,15.384615384615385,15.384615384615385,18.461538461538463,6.6115702479338845,28.09917355371901,30.57851239669421,22.31404958677686,12.396694214876034,14.583333333333334,50,12.5,0,22.916666666666664,0.43194925028835063,0.5680507497116494,274,6741.660604317,0.3957399103139013,3370,2765,115,360,102,0
"Census Tract 8, King County, Washington",53033000800,1990,0,83.97435897435898,2.4439102564102564,9.695512820512821,3.0448717948717947,0.9065234685759753,0.013524264120922848,0.055290373906125796,0.0115354017501989,11.9999999753782,9.426627793974733,12.147716229348884,22.8377065111759,31.486880466472307,24.101068999028183,7.894736842105263,18.969298245614034,19.846491228070175,26.31578947368421,26.973684210526315,50,0,50,0,0,0,0,14.000000000000002,40,46,0,0,0,100,0,0.6025267249757046,0.3974732750242954,364,5662.82730509001,0.7108081791626095,2496,2096,61,242,76,1
"Census Tract 9, King County, Washington",53033000900,1990,0,89.9924457334242,1.0565407798327495,6.7534086646909355,1.5848111697491243,0.9469198826786401,0.006582705350334101,0.034756798871812995,0.012503540217773886,18.4604624416712,8.249571328408381,17.104407285722747,11.1706584256518,16.211386706396166,47.26397625382091,8.556127586227863,15.2141640434602,11.429839273481427,12.12589395288411,52.67397514394639,0,100,0,0,0,0,31.746834101407124,0,11.338155036216829,56.91501086237605,0,39.9282123872981,32.66853740778936,25.40886242828061,1.9943877766319236,0.6828666963807871,0.3171333036192129,281,5221.59679427322,0.8562831521609857,1892.97,1703.53,20,127.84,30,1
